Supplement or Pharmaceuticals,Rationale,,Dosage/Notes,Provider
Melatonin,"Melatonin is a hormone primarily known for regulating sleep and plays a crucial role in maintaining circadian alignment. Melatonin is also a powerful antioxidant. Within mitochondria, melatonin supports energy production. Additionally, it reduces excessive inflammatory signaling and promoting anti-inflammatory cytokine production.",,"Start with one capsule (300 mcg), going up to 3 if necessary. Take 30 to 90 minutes before bedtime.",Nootropics Depot
Nitazoxanide,"Nitazoxanide is a broad-spectrum antiparasitic and antiviral agent that also exhibits potent activity against certain anaerobic gut bacteria, making it a useful option for treating bacterial overgrowth, particularly when resistant or hard-to-treat strains are involved. It generally has a favorable safety profile, with most side effects being mild (like nausea or headache), and it is less disruptive to the gut microbiome compared to traditional antibiotics. However, it should still be used cautiously to avoid unintended shifts in microbial balance or resistance.",,"500 mg, twice daily for 5 days out of the month. This should be done every month for 5 months.","ReliableRx

When ordering, a prescription or doctor is not necessary, simply pay and the product will arrive without submitting that information.

Delivery times may be several weeks. Consider implementing other recommendations listed in the meantime. Pausing your package and returning later, to not waste time, is also an option."
Citicoline,"Citicoline (CDP-choline) enhances brain function by boosting levels of acetylcholine and phosphatidylcholine, key molecules for memory, focus, and cell membrane integrity. It supports mitochondrial function and helps regenerate damaged neuronal membranes, making it useful in cognitive decline, stroke recovery, and brain fog. Citicoline also increases dopamine signaling, which can improve mood and motivation.",,"1/2 capsule twice per day, away from bed.",Swanson
Oregano oil,"Oregano has multiple powerful antibacterial, antifungal and antiparasitic properties. Supplementing the concentrated oil can help to reduce these pathogens in the gut.",,100-200 mg before each meal,
Curcumin,"Curcumin is a molecule derived from natural plants like turmeric. Curcumin has shown the ability to modulate inflammation, mainly by inhibiting the Th2 and mast cells that promote histamine responses and associated allergic, eczema and asthma symptoms. Curucmin also has antifungal properties.",,"The bottle says to take at night before bed, but this definitely needs to be at least 2 hours away from food. As a result, you’d try doing this first thing in the morning and wait 30 min to eat OR before bed as long as you wait two hours away from food.

Do two weeks of 1x per day, and then do 2 weeks of every other day. Then back to 2 weeks every day. (so 6 total weeks of ingesting this. Take a 2 week break after this, and then do two more weeks of every day.",BiOptimizers
Tributyrin,"Tributyrin is a compound that helps release butyrate into the gut. Butyrate is the primary metabolic fuel of the cells in the colon. This gives it a few key actions. It lowers inflammation (including allergic), promotes tolerance of foods, stimulates gut mucus production, reduces gut permeability, improves motility and even favorably impacts the bacterial composition by reducing endotoxin. It has been shown to reduce symptoms in IBS, IBDs and diverticulitis such as diarrhea, pain, gas and bloating.",,2 capsules per day,Peak Performance
Para Guardian,"This product contains multiple herbs with anti-parasitic, antifungal and antibacterial activity, and can thus be helpful for eliminating overgrowths or infections of these pathogens.",,,
GABA,"Gamma amino butyric acid (GABA) is an endogenously occurring amino acid. It is the primary relaxing neurotransmitter, reducing excitation in the brain and peripheral nerves. Taken orally, GABA can improve sleep, lower HPA axis functioning, and even act as an antioxidant.",,1 capsule per day before bed,Thorne
Boron,"Boron is a nonessential mineral that helps in the conversion of androgens to estrogens. Additionally, it increases the free, active androgens by decreasing the protein that normally sequesters them, sex hormone binding globulin.",,,
Sport Drink,This is an electrolyte powder containing adequate and absorbable amounts and forms of all of the essential electrolytes needed to stay hydrated properly. It also has no fillers or artificial additives.,,1 tbsp per day dissolved in a liquid,Sport Drink
Anastrazole,Anastrazole is a compound that prevents the conversion of androgens to estrogens (aromatase inhibitor). Using it in microdoses for short periods of time can help to mitigate many estrogen related symptoms while other aspects of health are being addressed.,,"0.25 mg (1/4 tablet) orally twice weekly, just for the time being.","ReliableRx

When ordering, a prescription or doctor is not necessary, simply pay and the product will arrive without submitting that information.

Delivery times may be several weeks. Consider implementing other recommendations listed in the meantime. Pausing your package and returning later, to not waste time, is also an option."
Fluconazole,Fluconazole is an a potent anti fungal medication that can help eliminate fungal infections in various parts of the body.,,"200 mg (1 tablet) for 3 days, then wait for one week and re-evaluate. ","ReliableRx

When ordering, a prescription or doctor is not necessary, simply pay and the product will arrive without submitting that information.

Delivery times may be several weeks. Consider implementing other recommendations listed in the meantime. Pausing your package and returning later, to not waste time, is also an option."
Astragalus,"Astagalus is an herb used in traditional Chinese medicine, chiefly for the treatment of kidney diseases. It has been shown in modern research to improve various metrics of kidney function, by supporting antioxidant status, lowering inflammation and blood pressure.",,,
D-Limonene,"D-Limonene is a compound isolated from the peels of citrus fruits. It has demonstrated anti-inflammatory and antioxidant effects. These properties lead to the strong protection of the stomach lining, in particular preventing inflammation of stomach and subsequent ulcers and even cancer.",,1 capsule (250 mg) per day,Swanson
Bismuth subsalicylate,"Bismuth subsalicylate is a compound most notably found in the common product Pepto Bismol. It has been shown to relieve symptoms like nausea, indigestion and diarrhea, but it has a direct antibacterial effect on specific intestinal pathogens, giving it a role as a root cause therapy. Bismuth has the unique capability of directly binding hydrogen sulfide, which can be elevated in the gut with certain bacterial overgrowths. Hydrogen sulfide can contribute to mitochondrial toxicity, antibiotic resistance and a number of digestive symptoms, including odorous gas.",,"~525 mg, 4 times per day for 1-2 weeks until symptoms sufficiently subside. Can be taken in tablet or liquid (30 mL) form, just check the label on the back to ensure ingestion of the proper dose. Can be bought at any pharmacy or grocery store.",Pepto Bismol (or generic) - local
Cordyceps,"Cordyceps is a mushroom extract with distinct adaptogenic properties, especially for the kidneys. It has been shown to decrease serum creatinine, increase its clearance and reduce proteinuria, while reducing the risk of chronic kidney disease complications. It appears to have these effects by stimulating the immune system, inhibiting the proliferation of filtering cells in the kidney, reducing oxidative stress and fibrosis in the kidney.",,3-6 g per day.,
Calcium D-Glucarate,"Calcium D-Glucarate is a compound found in various fruits and vegetables. It enhances the detoxification of endotoxin and estrogens from the gut, and prevents oxidative stress and inflammation of the liver.",,1/2 tsp per day.,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Larazotide,"Larazotide is a tight junction regulator that helps reduce intestinal permeability (""leaky gut""). It works by inhibiting the effects of zonulin, a protein that loosens tight junctions between intestinal cells. By keeping these junctions sealed, larazotide prevents the translocation of harmful antigens, toxins, and microbes into the bloodstream. This can reduce systemic inflammation and symptoms associated with conditions like celiac disease, IBS, and other gut-related disorders.",,2 capsules per day,LVLUp
Evening primrose,Evening primrose is a flowering plant that has been used traditionally to treat symptoms of menopause. It appears to exert its effects through altering estrogen signaling.,,2 capsules (1000 mg) once per day,SolaRay
Dong Quai,Dong Quai is a root used in traditional Chinese medicine to treat various menstrual and menopausal symptoms through its antiserotonin properties.,,1 capsule (550 mg) per day,SolaRay
Black Cohosh,Black Cohosh is a flowering plant native to Canada which has shown efficacy against various menopausal symptoms. Its extract works by having unique compounds which appear to exert anti-inflammatory and antioxidant action without having any estrogenic activity.,,1 capsule (400 mg) per day. ,Gaia Herbs
Fat soluble vitamin mix,"This mix has vitamins A, D and K2 in their most bioavailable forms, optimal for topical application.

Vitamin A serves crucial roles in the differentiation and maintenance of epithelial cells, especially in the gut and skin. Vitamin A has a key anti-inflammatory, and anti-serotonin effect in the gut. Various components of the immune system require vitamin A to proliferate and differentiate, properly recognize pathogens and mount appropriate responses. Autoimmunity can arise from a lack of vitamin A as it acts to shift the balance of immune cells towards regulation and away from inflammation. It also has pro-androgenic effects and preserves mitochondrial function. Suboptimal vitamin A levels have been shown to drive hypothyroidism, while supplementation can help. Vitamin A supplementation has also been shown to lower serotonin and improve inflammation in the gut.

Vitamin D can lower HPA axis functioning, as well as other stress hormones such as parathyroid hormone and serotonin. Vitamin D has a multitude of antimicrobial effects, lowers serotonin in the gut, supports immunity, and helps to repair the gut barrier. It also plays a critical role in enhancing androgen production. Vitamin D supplementation has been shown to improve thyroid function by suppressing inappropriate immune attack on the thyroid gland and enhancing thyroid hormone conversion. Autoimmunity can arise from a lack of vitamin D as it acts to shift the balance of immune cells towards regulation and away from inflammation.

Vitamin K2 can reduce pathogenic bacteria and inflammation in the intestines while improving its structural integrity, improving many gut symptoms. It balances with vitamins A and D, and calcium, synergistically to aid in the formation of bone. Vitamin K2 also has pro-androgenic, anxiolytic and liver protective effects.",,2 servings topically applied to the skin per day. Should be applied to regions with thin skin (wrists and forearms are good) for optimal absorption.,Forefront health
Milk Thistle,Milk thistle is an extract of a flowering plant which has several protective effects on the liver. It has been shown to protect against liver injury from numerous toxins by lowering the inflammatory response and even preventing the transportation of toxins into liver cells.,,,
Vitamin A,"Vitamin A serves crucial roles in the differentiation and maintenance of epithelial cells, especially in the gut and skin. Vitamin A has a key anti-inflammatory, and anti-serotonin effect in the gut. Various components of the immune system require vitamin A to proliferate and differentiate, properly recognize pathogens and mount appropriate responses. Autoimmunity can arise from a lack of vitamin A as it acts to shift the balance of immune cells towards regulation and away from inflammation. It also has pro-androgenic effects and preserves mitochondrial function. Suboptimal vitamin A levels have been shown to drive hypothyroidism, while supplementation can help. Vitamin A supplementation has also been shown to lower serotonin and improve inflammation in the gut.",,"1 drop (2,500 IU) daily","Health Natura, use code ""PRISM111"" at checkout for 20% off"
Human Milk Oligosaccharides,"Human milk oligosaccharides (HMOs) are carbohydrates that exist naturally in breast milk. These carbohydrates escape absorption, getting metabolized by the resident gut bacteria, and produce compounds that are critical for immune development, intestinal barrier function, and maintaining a gut environment that resists colonization by pathogens. ",,One serving daily,Layer Origin
Fadogia agrestis,"Fadogia agrestis is a flowering plant native to African and Asian countries, where it was used historically as an aphrodisiac. It has been shown to increase androgens and improve sexual functions in males, such as erection quality and ejaculation latency. Fadogia exerts these effects by its improving blood flow and antioxidant status.",,½ capsule (300 mg) ,
Acerola Cherry Extract (25% Vitamin C) Powder,"Vitamin C is one of the body’s principle antioxidants, protecting against free radicals and tissue damage. Vitamin C is especially critical for HPA axis function, being released and can become depleted during times of high stress and adrenaline production. Adding additional vitamin C can suppress excessive HPA axis activity and the associated symptoms of stress, as well as lower inflammation. Vitamin C is also low during allergies and other inflammatory states characterized by high histamine, while supplementing vitamin C can lower histamine by enhancing its degradation. Vitamin C also acts to increase the output of dopamine, our primary pleasure, focus and reward neurotransmitter. Autoimmunity can arise from a lack of vitamin C as it acts to shift the balance of immune cells towards regulation and away from inflammation. Vitamin C is an important factor in the synthesis of collagen, one of the most abundant proteins in the hair, skin and other connective tissues. The ability of vitamin C to protect against oxidative damage and support collagen synthesis makes it one of the most important tools for supporting the health of the blood vessels, improving blood flow and circulation.",,1.8g (1/2 tsp) daily,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Zinc Picolinate,"Zinc is critical for the structure of the gut, can reduce endotoxin and also has anti-inflammatory and pro-androgen effects, in part by inhibiting the conversion of androgens to estrogens. The immune system relies on zinc in order to mount appropriate responses and mitigate unnecessary inflammation. Zinc is needed for the proper formation and functioning of thyroid hormones. Zinc supplementation can also be used to alleviate fungal overgrowths and skin issues like acne, dry skin, eczema, and even hair loss. Deficiency of zinc can lead to susceptibility of heavy metal toxicity, since many metals exert their harmful effects by binding to zinc containing proteins. Supplementation can help to reverse it, in part by increasing their detoxification through the metallothionein protein. The picolinate form is highly absorbable.",,20-30 mg daily.,"LifeGivingStore, use code ""Optimize"" at checkout for 10% off"
Virgin Coconut oil,Topically applied virgin coconut oil has been shown to have numerous beneficial effects for the skin. It increases the resistance of the skin to damage from ultraviolet radiation and to aging by decreasing inflammation and improving antioxidant status. It also improves the collagen content in the skin and can improve conditions like dry skin and eczema when used consistently.,,Cover the area(s) of concern with 1 tsp (5 mL) twice daily.,Any (local)
Bifido Factor,"Bifido factor is a probiotic containing Bifidobacterium bifidum. This microbe supports gut health by reducing intestinal permeability, inflammation, and inhibiting endotoxin containing bacteria. It produces short-chain fatty acids like acetate that fuel colonocyte metabolism and modulate immune responses, helping reduce IBS symptoms like bloating and irregular bowel movements.",,1 capsule per day,Natren
Bifidobacterium Infantis,"B. Infantis is a resident gut bacteria which effectively colonizes the gut when given as a probiotic. B. Infantis serves important roles in lowering inflammation, enhancing intestinal barrier function, and creating resistance to pathogenic colonization. Supplementation has been shown to improve intestinal inflammatory conditions.",,1 serving daily without food,Natren
Katialis Soap,"This soap contains three key ingredients for the health of the skin: sulfur, zinc, and salicylic acid. Sulfur has shown mild antibacterial and antifungal properties and is effective in the treatment of skin conditions such as acne and rosacea. Zinc supplementation can also be used to alleviate fungal overgrowths and skin issues like acne, dry skin, and eczema through antibacterial, anti-inflammatory and antioxidant properties. Salicylic acid applied topically to the skin has potent anti-inflammatory effects, and exfoliates the skin, aiding in skin regeneration.",,Use daily as soap while bathing.,Katialis
Creatine,"Creatine is a nutrient produced by the body and found in animal proteins. It forms a critical metabolic circuit which allows tissues like the muscles and brain to generate energy more effectively. Consequently, it’s been shown to help in mood and brain disorders, such as depression, anxiety and mental retardation. It also aids in in exercise performance and various muscular abnormalities. Creatine also can raise the levels of DHT, our body's strongest androgen. Creatine synthesis in the body is dependent on methylation, so supplementing it can reduce the demand on this system. ",,4 grams per day (1 tsp),"PureBulk, use code ""PRISM"" at checkout for 10% off"
L-Tyrosine,"L-Tyrosine is an amino acid that naturally occurs in food. It serves as a direct precursor for both dopamine and thyroid hormones. Tyrosine levels tend to become depleted in hypothyroidism and certain forms of depression, while supplementing it back in these instances has been shown to improve energy and mood. Dopamine and thyroid hormones tend to promote each other's synthesis.",,"1/4 tsp (800 mg) is a good starting dose, and can be increased to up to 1 tsp (3,200 mg). Should be taken on an empty stomach.","PureBulk, use code ""PRISM"" at checkout for 10% off"
Coenzyme Q10,"Coenzyme Q10 is a nutrient essential for metabolism in the mitochondria, allowing us to harvest complete energy from our food. Due to this, it has potent anti-fatigue effects, is particularly beneficial for the heart and muscles, where it tends to be most concentrated. CoQ10 also has strong protective effects against headache and migraine, probably due to its ability to lower inflammation and oxidative stress as a mitochondrial antioxidant. This effect is also seen in the gut, where CoQ10 can improve gut inflammation.",,100-200 mg (1/16-1/8 tsp) 2-3x daily.,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Baking soda,"Baking soda has anti-inflammatory and anti-fatigue effects by combatting excess acidity in the body, which can impair metabolism. This is most evident in its ability to increase exercise capacity and performance, as it combats the acidity produced during explosive movement and thus improves energy production. Excess acidity can increase HPA axis functioning, and thus baking soda can help to lower the activity of this system. Baking soda has been shown to help promote restful sleep and prevent nighttime urination, by lowering stress and improving blood flow. It also can increase stomach acid in the long term. Another benefit of baking soda is that it can help to increase the production of carbon dioxide, which acts as a vasodilator and thus improves blood flow.",,"Start with 1/4-1/2 tsp in warm water, 1-2x per day, ideally 2 hours away from meals. Can be taken right before bed if using to get a more restful sleep.",Any (local)
Hyaluronic acid,"Hyaluronic acid is a key component of connective tissues like the joints, skin and hair. Supplementation with it has been demonstrated as a viable method for combatting osteoarthritis by supporting this extracellular matrix and lowering inflammation.",,200mg (1/8 tsp) daily,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Castor Oil,Topical application of castor oil can be very effective at treating various cutaneous abnormalities through its antibacterial and anti-inflammatory properties.,,One serving applied topically to the area of concern daily,Botanic Hearth
Bromantane,"Bromantane is an adaptogenic compound that has cognitive enhancing effects. It increases the synthesis of dopamine in the brain, the primary neurotransmitter involved in reward and motivation. Bromantane has also shown the ability to lower inflammation and increase factors that stimulate brain cell growth and maturation. This gives it anti-stress and stimulating properties.",,"Limitless Life Nootropics, use code ""PRISM7"" for 15% off",
Selenium ,"Selenium is an essential trace mineral that is required for biological processes involved in antioxidant defenses and thyroid hormone metabolism. Selenium also has some anti-estrogenic properties. Selenium, especially in combination with other minerals, can oppose the effects of and displace heavy metals.",,1 capsule (200 mcg) daily. Be sure to select capsules (not bags) and gel caps (not veg).,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Liquid Selenium,"Selenium is an essential trace mineral that is required for biological processes involved in antioxidant defenses and thyroid hormone metabolism. Selenium also has some anti-estrogenic properties. Selenium, especially in combination with other minerals, can oppose the effects of and displace heavy metals.",,30 drops (210 mcg) per day.,"LifeGivingStore, use code ""Optimize"" at checkout for 10% off"
Undecylenic acid,"Undecylenic acid is an 11-carbon monounsaturated fatty acid derived from castor oil. It's primarily used as a supplement for its potent antifungal and antimicrobial properties, especially against Candida species. It works by disrupting fungal cell membranes, making it useful for supporting gut, skin, and nail health.",,5 capsules with each meal.,Thorne
Shilajit,"Shilajit is a natural substance that oozes out of the sedimentary rocks in the Himalayas. This compound is a blend of rock humus, minerals, and organic materials, all compressed under layers of rock alongside marine organisms and the byproducts of microbes. It contains numerous active ingredients capable of boosting the production of androgens and attaching to a variety of toxins within the gut.",,250 mg twice daily,Based Supplements
Bromelain,"Bromelain is a naturally occurring enzyme which has anti-fibrotic, biofilm disrupting, and anti-clotting properties. This gives it utility for dealing with cardiovascular and digestive issues.",,"500 mg at least 30 min before food, once daily. 4 weeks on, 2 weeks off - rotate 3-6 times.",
Serrapeptase,"Serrapeptase is a naturally occuring enzyme which has anti-fibrotic, anti-clotting and anti-inflammatory properties. It is often used to break down various unfavorable tissues like scar tissues and biofilm.",,"120 IU at least 30 min before food, once daily. 4 weeks on, 2 weeks off - rotate 3-6 times.",
Ginkgo Biloba,"Ginkgo Biloba is derived from a tree, which has been found to have medicinal properties. It has a pro-dopamine effect, boosting motivation and subjective energy and focus. Additionally, the plant appears to protect against damage of the nervous system, including the brain.",,"1 capsule (120 mg) as needed for focus, motivation and energy.",Bulk Supplements
Dr. Klein's Healthy Heart Plus Cardiovascular Health Supplement.,"This formula supports healthy blood pressure with coenzyme q10, Vitamin K2, and magnesium, and improves circulation with Nattokinase to prevent blood clots and plaque. It also aids in maintaining healthy cholesterol levels using garlic extract and policosanol, alongside Pomegranate extract to minimize oxidative stress. Additionally, it boosts metabolism with a blend of vital nutrients, helping to address hormonal imbalances and cardiovascular health impacts.",,2 capsules with breakfast and 2 with lunch,Dr. Klein
Pansterone,"Pansterone is a topical supplement containing pregnenolone and DHEA.

Pregnenolone is one of the “youth” steroids whose production declines with aging and stress. It is perhaps the body’s primary endogenous anti-stress hormone. It can lower HPA axis function, counteract excess estrogen, enhances mitochondrial function and structure, and has some potent anti-inflammatory properties. Pregnenolone also has several neuroprotective, cognitive, anti-addiction and mood enhancing properties. Metabolites of pregnenolone have a key gut protective effect and become depleted when the gut becomes inflamed.

Like pregnenolone, DHEA is a steroid hormone whose levels declines with aging. It has important anti-HPA axis effects, directly stopping the actions of cortisol in cells. In the brain, DHEA is an endogenous stimulator of neurogenesis, or the creation of new brain cells.",,,Idealabsdc
Pomegranate Extract,"Pomegranate Extract is rich in certain compounds, such as ellagitannins, which serve as “food” for beneficial bacteria in the gut. The extract has been shown to reduce endotoxin levels and heal intestinal permeability.",,500-1000 mg per day,Bulk Supplements
DHEA,"DHEA is a steroid hormone whose levels declines with aging. It is the most basic androgen, serving as a precursor to more potent androgens like testosterone and DHT. DHEA has important anti-HPA axis effects, directly stopping and opposing the actions of cortisol in cells. In the brain, DHEA is an endogenous stimulator of neurogenesis, or the creation of new brain cells. DHEA has been shown to improve body composition and improve insulin sensitivity through its multiple beneficial effects on mitochondrial function.",,"1 drop (4 mg) orally, 2-3 times per day.","Health Natura, use code ""PRISM111"" at checkout for 20% off"
Pregnenolone,"Pregnenolone is one of the “youth” steroids that declines with aging and stress. It is perhaps the body’s primary endogenous anti-stress hormone. It can lower HPA axis function, counteract excess estrogen, enhances mitochondrial function and structure, and has some potent anti-inflammatory properties. Pregnenolone also has several neuroprotective, cognitive, anti-addiction and mood enhancing properties. Metabolites of pregnenolone have a key gut protective effect and become depleted when the gut becomes inflamed.",,100-500 mg orally as needed during periods of intense stress,"Health Natura, use code ""PRISM111"" at checkout for 20% off"
T3,"T3 is the active thyroid hormone. Hypothyroidism is typically treated with T4 only (levothyroxine) medication, as this is the primary thyroid hormone that is released from the gland itself, and lowers thyroid stimulating hormone (TSH) levels in the blood, which is used to diagnose hypothyroidism. However, T4 must be converted by other tissues (mainly the liver) into the active thyroid hormone T3, which is the hormone that facilitates increased metabolism. It is a lack of T3 properly reaching cells that is the true cause of hypothyroidism. Thus, supplementing with T3 can be advantageous to rapidly correct hypothyroidism.",,1 drop (8 mcg) with food daily,Idealabsdc
GHK-Cu,"GHK-Cu is a peptide that, when applied topically to the scalp, has several hair growth promoting properties. It increases blood vessel formation and microcirculation to the scalp, improves glucose metabolism in hair follicles, boosts proliferation and differentiation of hair follicle cells, and enhances follicle growth factors. Unlike other top treatments, GHK-Cu does not alter androgen levels. It also supports skin health by stimulating collagen production, enhancing wound healing, and reducing inflammation. It also improves skin hydration and elasticity while protecting against oxidative damage. These effects make it effective for reducing wrinkles, improving skin tone, and accelerating skin repair.",,Work with your primary advisor on how to best administer this.,"Limitless Life Nootropics, use code ""PRISM7"" for 15% off"
Cynoplus,"Cynoplus is a combination product of T4 and T3. T4 and T3 are the same thyroid hormones the body produces. Hypothyroidism is typically treated with T4 only (levothyroxine) medication, as this is the primary thyroid hormone that is released from the gland itself, and lowers thyroid stimulating hormone (TSH) levels in the blood, which is used to diagnose hypothyroidism. However, T4 must be converted by other tissues (mainly the liver) into the active thyroid hormone T3, which is the hormone that facilitates increased metabolism. It is a lack of T3 properly reaching cells that is the true cause of hypothyroidism. Thus, supplementing with T3 in addition to T4 can be advantageous to correct hypothyroidism, especially in situations where there is a tendency to convert T4 into the anti-metabolic reverse T3.",,Work with your primary advisor on how to best administer this.,"Medicina Mexico.

Zelle the exact amount (order + shipping) to steve@36.com.mx. In the message accompanying the payment to recipient on Zelle, write ""order number X"" where X is your order number. On your account on the meds.com.mx website, the order will say ""order sent to shipping"" under the order history page once the payment has been received."
Thyronorm (T4) + Linorma (T3),"T4 and T3 are the same thyroid hormones the body produces. Hypothyroidism is typically treated with T4 only (levothyroxine) medication, as this is the primary thyroid hormone that is released from the gland itself, and lowers thyroid stimulating hormone (TSH) levels in the blood, which is used to diagnose hypothyroidism. However, T4 must be converted by other tissues (mainly the liver) into the active thyroid hormone T3, which is the hormone that facilitates increased metabolism. It is a lack of T3 properly reaching cells that is the true cause of hypothyroidism. Thus, supplementing with T3 in addition to T4 can be advantageous to correct hypothyroidism, especially in situations where there is a tendency to convert T4 into the anti-metabolic reverse T3.",,"Thyroid hormones can take 2-4 weeks to stabilize in terms of its effects. An improvement in key symptoms, energy levels, body temperature and pulse should be noticed within this time. If not, the dose can be increased. 

Start with ½ tablet (37.5 mcg) Thyronorm and ½ tablet (10 mcg) Linorma. Work with your primary advisor on adjusting the dosage if necessary.

Ensure to track morning temperature as described during the take-home assessment. Once temperature reaches 97.8°F  or higher consistently, along with symptom improvement, the correct dosage is likely to have been found.
","ReliableRx

When ordering, a prescription or doctor is not necessary, simply pay and the product will arrive without submitting that information.

Delivery times may be several weeks. Consider implementing other recommendations listed in the meantime. Pausing your package and returning later, to not waste time, is also an option."
