Intervention,Rationale,Notes
Consider discontinuing several current supplements.,"It can be easy to get “lost in the weeds” when trying to achieve health goals, and starting fresh or simplifying things can be immensely valuable. The team believes that continuing with these supplements is unlikely to help much and will complicate things moving forward. Supplements interact with each other and with diet and lifestyle, so it is helpful to eliminate other variables to have greater clarity on the effectiveness of the approach.","If supplements are truly beneficial, then continue using them. However, we encourage you to be critical of them. Consider trying to go without one, a few, or even all of them for brief periods of time and assess how you feel. Eliminate them if they are not providing substantial value, as they only serve to burden you and confuse the situation going forward. "
Intravenous NAD+ therapy,"NAD+ is a fundamental energetic substrate that allows cells to metabolize food. NAD+ has been shown to reduce neuroinflammation, reverse energetic dysfunction, improve cognitive function, protect brain cells from death, reduce anxiety and depression, cravings and increase glucose metabolism.        ",Speak to your primary advisor on how to best go about this.
Bag breathing,"Carbon dioxide, produced during efficient metabolism, is an anti-inflammatory for the immune cells of the mucosa. Nasal sprays of carbon dioxide have been shown to alleviate congestion. This trick will allow for retention of carbon dioxide in the sinuses and nasal cavity for free.",Click here to see how it's done
Reverse dieting,"Reverse dieting is the process of gradually increasing your calorie intake after a period of dieting to help restore metabolism, hormones, and energy levels without rapidly gaining fat. It allows the body to adapt to higher food intake while minimizing fat gain, making it easier to maintain results and support long-term metabolic health.",See the uploaded reverse diet guide for more information.
Raw carrot,"Insoluble fiber from raw carrots can increase motility and reduce bacterial load through direct antimicrobial effects. Insoluble fiber also can directly bind excess estrogen and bile acids, preventing their reabsorption  and facilitating their excretion. ","1-2 large raw carrots daily in the morning to early afternoon, away from meals is a good amount."
Sauna or sweating,"Various environmental pollutants and toxins can be excreted through the sweat. If the toxic load is high or liver function is poor, ensuring to sweat regularly can be useful in aiding detoxification.",Sauna can be implemented for 15-30 minutes (or until you are uncomfortable) 2-3 times per week.
Log food and supplements in Cronometer,This will give us both a clear picture of your overall nutrient status and what we need to further adjust. ,Work with your primary advisor on how to go about this best. Please be adamant about counting everything eaten throughout the day. It can be very easy to underestimate things such as oils and sugars. 
Lower protein intake,"While having adequate protein in the diet is vital for various functions, a very high protein intake can lead to lower androgen levels.",
Add carbohydrates to the diet,"Carbohydrates are vital for lowering the stress systems, like the HPA axis and adrenaline/noradrenaline. Carbohydrates are also imperative for proper thyroid hormone production and metabolism, and for raising androgens. Finally, they serve as a key source of fuel for the immune system, and for several cells in the gut, which maintains a healthy digestive environment.","Easily digestible carbohydrate sources would be fruits like grapes, apples, pineapples and oranges, fruit juices, honey, cane sugar, and very well-cooked white rice and potatoes. "
Avoid fasting,"Fasting is known to raise the levels of serotonin in the gut, activate the HPA axis, raise adrenaline and noradrenaline, while lowering thyroid function.",
Garlic,"Garlic contains compounds like allicin that have antioxidant properties, reducing oxidative stress. Its antibacterial and antifungal effects stem from allicin’s ability to disrupt microbial membranes, making it effective against common gut pathogens. Garlic can raise androgens and suppressing the HPA axis.",1 clove of garlic cut in 3 – swallow 1 piece before each meal. Try this for 2 weeks if there is no immediate negative reaction.
Raw Honey,"Raw honey has multiple unique compounds that make it a medicinal food. These bring it anti-inflammatory, anti-allergenic, antioxidant, antibacterial and antifungal value. Administration of honey has been shown to improve allergies, skin conditions like eczema, and glucose metabolism.","The honey should be bought locally, unpasteurized and raw. Anywhere from 1-5 tsp daily should provide benefit. Topically applied manuka honey can help with skin lesions of interest."
Royal Jelly,"Royal Jelly is substance secreted by worker bees exclusively fed to queen larvae. It is highly concentrated in numerous bioactive small molecules and proteins that have antioxidant and anti-inflammatory value. For the skin, royal jelly has been shown to enhance collagen production, improve skin hydration, protect against photoaging and even eczema.",1 tsp daily orally
White button mushrooms,"White button mushrooms can promote motility and have antimicrobial, anti-inflammatory and antiestrogenic effects. Mushrooms are also an excellent source of ergothioneine, a compound with powerful antioxidant, anti-inflammatory and nerve/brain cell regenerating properties.",Make sure to thoroughly cook the mushrooms by either boiling them or searing them in an appropriate fat (like extra virgin olive oil or coconut oil). A small serving (~3 ounces) once every other day is a good starting spot.
Humming (Bhramari Pranayama),Humming has been shown to powerfully reduce stress through increasing parasympathetic and vagal tone.,Click here to learn how to hum for stress resilience. 
Bag breathing,"Bag breathing can rapidly lower stress by increasing respiratory carbon dioxide retention. This carbon dioxide acts to enhance the parasympathetic ""rest and digest"" or vagal tone.","Use a paper bag, and breathe into it and quickly re-breathe your breath"
Diaphragmatic breathing,"Diaphragmatic or ""belly"" breathing is a breathing technique. By breathing through the nose, slowly and deeply, this type of breathing has been shown to increase the levels of carbon dioxide in the body, raising the metabolic rate. This also has potent anxiolytic properties by enhancing the tone of the parasympathetic nervous system.",Click here to learn how to do diaphragmatic breathing. Reach out to your advisor if you need more help.
Add gelatin / collagen powder to foods and/or focus on collagenous foods.,"The amino acids abundant in these protein sources have anti-inflammatory, and gut reparative effects that can reduce symptoms. Collagen has also been shown to reduce joint pain and repair skin, and even promote hair growth.","Using 20-40g of gelatin or collagen per day is a good starting point (link is collagen from LifeGivingStore, use code ""Optimize"" at checkout for 10% off). Mixing them into foods like rice and ground beef is the easiest way to incorporate them, though collagen supplements easily dissolve in liquid.

High collagen foods include bone broth, chewy cuts of meat such as chuck or ribs, connective tissue like leg, shanks and oxtail, and whole shellfish like shrimp, scallops and oysters."
Add calcium to the diet,"Calcium in the diet may be lacking. Calcium, along with vitamin D, is critical for regulating parathyroid hormone levels, a stress hormone that can induce inflammation, suppress the rate of metabolism, and contribute to gastrointestinal distress. Calcium can also inhibit the absorption of iron, which can be advantageous in situations of iron excess. Calcium intake is often insufficient in people dealing with inflammatory conditions, and these conditions, such as allergies, can be ameliorated by calcium. Higher calcium diets have been shown to help in fat loss by modulating fat cell metabolism.","Excellent sources of calcium include dairy products: any type of milk (whichever you prefer, but especially lower fat varieties), cheeses, cottage cheese, and Greek yogurt. Canned fish with bones like sardines is another good option. Well-cooked greens like mustard greens, napa cabbage, broccoli or Bok choy are some good options as well. If these foods are not well tolerated or available, consider supplementing (NEED LINK) with calcium carbonate at 1250 mg (level unpacked 1/4 tsp) up to twice daily (PureBulk, use code ""PRISM"" at checkout for 10% off)."
Blue light therapy,"Blue light has been shown to have potent antimicrobial and anti-inflammatory properties on the skin, resulting in its efficacy of treating skin conditions like acne.","Hold the device 6-12 inches away from the skin area of interest, for 15 minutes, twice weekly."
Red and near infrared light therapy,"Specific wavelengths that constitute red and near infrared light have powerful biological effects. They activate our mitochondrial enzymes, allowing us to generate energy more effectively, and this in turn has anti-inflammatory effects. This light device is carefully calibrated to the biologically active wavelengths and power output.","LifeGivingStore, use code ""Optimize"" at checkout for 10% off. Use for 10-20 minutes, every other day on the scalp."
Saturated fat,Saturated fats have been shown to be beneficial for thyroid and androgen hormones.,Animal fat from red meat and dairy and coconut oil are good sources of saturated fat. These can be eaten to the patient’s liking.
PC6 Acupressure point,"These pressure points target specific nerves, whose stimulation can lead to better parasympathetic ""rest and digest"" tone, and has been shown in numerous studies to relieve gastrointestinal symptoms.",Click here to see how to locate and stimulate this pressure point.
ST-36 Acupressure point,,Click here to see how to locate and stimulate this pressure point.
Focus on copper rich foods,"Copper is vital for the proper functioning of the mitochondria and has essential antioxidant properties. Copper is also a cofactor for producing the hair and skin coloring pigment, melanin, and for breaking down histamine.","Some high copper foods include chocolate, shiitake mushrooms, sweet and white potatoes, cod, and shellfish."
"Include liver, oysters and eggs in the diet","These foods are incredibly nutrient rich, especially in nutrients that are found only in small amounts in other foods. Due to this, including even small amounts of these foods regularly can significantly improve nutritional status and support several key functions for improving overall health. Some of these key nutrients include zinc, copper, vitamin A, selenium, molybdenum, iron and numerous B vitamins. 

Zinc is critical for the structure of the gut, can reduce endotoxin and also has anti-inflammatory and pro-androgen effects. The immune system relies on zinc in order to mount appropriate responses and mitigate unnecessary inflammation. Zinc is needed for the proper formation and functioning of thyroid hormones. Zinc supplementation can also be used to alleviate fungal overgrowths and skin issues like acne, dry skin, eczema, and even hair loss. Deficiency of zinc can lead to susceptibility of heavy metal toxicity, since many metals exert their harmful effects by binding to zinc containing proteins. Supplementation can help to reverse it, in part by increasing their detoxification through the metallothionein protein. 
Copper is vital for the proper functioning of the mitochondria and has essential antioxidant properties. 
Vitamin A serves crucial roles in the differentiation and maintenance of epithelial cells, especially in the gut and skin. Vitamin A has a key anti-inflammatory, and anti-serotonin effect in the gut. Various components of the immune system require vitamin A to proliferate and differentiate, properly recognize pathogens and mount appropriate responses. Autoimmunity can arise from a lack of vitamin A as it acts to shift the balance of immune cells towards regulation and away from inflammation. It also has pro-androgenic effects and preserves mitochondrial function. Suboptimal vitamin A levels have been shown to drive hypothyroidism, while supplementation can help. Vitamin A supplementation has also been shown to lower serotonin and improve inflammation in the gut.
Selenium is an essential trace mineral that is required for biological processes involved in antioxidant defenses and thyroid hormone metabolism. Selenium also has some anti-estrogenic properties. Selenium, especially in combination with other minerals, can oppose the effects of and displace heavy metals.
Molybdenum is a trace mineral highly involved in the detoxification of sulfite, which can poison the mitochondria, leading to impaired energy production. 
Iron in reasonable amounts is essential for detoxification, metabolism, immunity and oxygen delivery throughout the body. 
Vitamin B2 (riboflavin) is a nutrient central to energy metabolism, especially the metabolism of fat. This is especially important in the gut, since it relies heavily on fat metabolism to function properly. Riboflavin also assists in the interconversion and breakdown of neurotransmitters like dopamine and serotonin, and even plays a role in the excretion of estrogens. Riboflavin is critical to the antioxidant and methylation systems as well, both of which play huge roles in our overall health. 
Vitamin B3 (niacin) is a critical mediator of energy production, enhancing glucose metabolism and lowering lipids that can become elevated in stress. Niacin also has mild antimicrobial properties and can protect the gut lining from damage. 
Vitamin B6 (pyridoxal phosphate) is a nutrient central to several aspects of energy production. B6 is also critical for forming neurotransmitters like dopamine, and for supporting the methylation process - essential for DNA function, lowering inflammation, metabolizing neurotransmitters and producing energy cofactors.
Vitamin B7 (biotin) is a nutrient that aids in the ""alternative"" metabolism of glucose. It also serves vital roles as a ""builder,"" helping to form larger molecular structures from the food we eat. Biotin supplementation has been shown to be therapeutic in enhancing carbohydrate metabolism and alleviating inflammation. 
Vitamin B9 (folate) & Vitamin B12 (cobalamin) support the methylation process.
","4-8 oz of beef liver per week, 6-12 eggs, and 3 cans oysters (or equivalent fresh) weekly is a good target."
Include more starch sources in the diet.,"When the liver is in a compromised state or in states of high inflammation or stress, sugars can be more readily converted into fat than starches. Starches cause greater secretion of insulin, which positively impacts androgen levels. Starch can provide fermentable substrate for bacteria, producing metabolites like short chain fatty acids, which in turn can suppress gut inflammation, enhance gut immunity, and promote gut motility.","Some good starch sources are very well cooked potatoes, sweet potatoes, and white or basmati rice.

It is important to be mindful of the fact that while this approach can be helpful, people with significant gastrointestinal distress often have difficulty tolerating these foods and it can worsen the condition. It is paramount to listen to the response from the body and adjust accordingly."
Exclude starch from the diet,"Reducing starch intake can starve pro-inflammatory gut bacteria like E. coli and Bacteroides, which thrive on undigested carbohydrates and worsen gut inflammation. Removing starch may help calm symptoms, reduce bacterial overgrowth, and promote mucosal healing.","Starch is found in grains like wheat, rice, corn, oats, and barley. It's also abundant in starchy vegetables such as potatoes, sweet potatoes, peas, and corn. Processed foods like bread, pasta, cereal, crackers, and chips are typically high in refined starch."
Add in bitter and acidic foods,These foods tend to improve bile and gastric acid production.,"Foods such as vinegar, vinegar based dressings, apple cider vinegar in water, lemon in water, green apples, bitter greens and beets are good options."
Coffee,"Coffee supports motility, intestinal structural integrity, the secretion of stomach acid and bile.","Can be caffeinated or decaffeinated, drank to the client's liking. Coffee should ideally be consumed with food or a calorie source."
Therapeutic phlebotomy ,"Iron tends to accumulate in the body over time, as excretion mechanisms are limited and often insufficient to clear out toxic levels of iron. Excess iron can contribute to inflammation and oxidative stress. Thus, therapeutic phlebotomy (blood donation) serves as an excellent and safe way to lower iron levels. In those with high iron (ferritin) levels, it can improve liver disease and insulin sensitivity, conferring long term protection from cardiovascular disease.","CLICK HERE: https://www.oneblood.org/donate-now.html to find a place for donation near you.

After donation, re-test iron panel to gauge iron status. Blood donation can be done as often as once every 2 months in normal individuals. "
Focus on potassium rich foods.,Potassium is an essential mineral that helps regulate blood glucose and has key anti-stress effects. Potassium is especially important for the functioning of nerve tissue and is the primary blood pressure lowering mineral.,"Easily digestible foods high in potassium include lean red meat, seafood, potatoes, fruits and fruit juices. Nu Salt can be used to supplement in doses under 1000 mg. Coconut water is another excellent way to get more potassium in."
Focus on iron rich foods,"Iron status may be suboptimal. Iron in reasonable amounts is essential for detoxification, metabolism, immunity and oxygen delivery throughout the body. Low iron can result in low energy, immunity, and dizziness. ","Good sources of iron include red meat (3+ ounces daily), beef liver (up to 8 ounces weekly), and oysters (1-2 dozen per week, fresh or canned). Free iron sources like iron from fortified grains are not ideal."
Resistance training,"Even brief weight or bodyweight training sessions can have important impacts on GI motility, bacterial composition, androgen status and stress levels.",See the uploaded guide for more details on how to get started
Journaling,Externalizing thoughts that may be recurring can be helpful in releasing and moving past them.,Writing down these thoughts before bed can help to go to sleep with a clearer mind.
Increase protein intake,A low protein intake can contribute to increases in HPA axis activity and decreased elimination of estrogens. Animal proteins are generally more easily digestible and of higher quality than plant proteins.,"“Adequate” will be different for everybody, but try to listen to your body and eat to protein satiation."
Bright light therapy,"A lack of exposure to bright daytime sunlight exposure to the eyes can result in elevations in the HPA axis, melatonin and prolactin throughout the day. These hormonal signals have been implicated in contributing to poorer mood, while implementing bright light can be therapeutic. Incandescent style lights mimic the sun’s wavelength composition and can serve as a good substitute if bright sunlight is not accessible throughout the day.","Any 10,000-lux bright light therapy device will work.

As many incandescent style lights as necessary to achieve a satisfactory amount of brightness can work well. Typically, this will be 5-10 bulbs.

Use during normal daytime hours when bright outdoor light is not available. 

During the winter, these tools can be used to “supplement” natural bright sunlight when days are shorter, turning them on earlier in the day and keeping them on later into the evening to compensate for the excessive darkness."
& Incandescent style light bulbs,,
Animal based diet,"An animal-based diet emphasizes nutrient-dense foods like meat, organs, eggs, dairy, and sometimes honey and fruit, while minimizing processed foods, grains, and seed oils. These foods provide highly bioavailable nutrients—like vitamin A, B12, iron, zinc, and choline—that are essential for hormone production, energy metabolism, and neurological function. Saturated fats and cholesterol from animal sources support the synthesis of steroid hormones, including testosterone, estrogen, and cortisol. For gut health, eliminating irritants like gluten, lectins, and excessive fiber can reduce inflammation and support intestinal healing. Many people also experience improved digestion and reduced bloating due to the simplicity and digestibility of animal-based meals. Overall, this approach can restore nutrient deficiencies and hormonal imbalances caused by modern processed diets.","Protein-rich staples on an animal-based diet include beef, lamb, liver, eggs, wild-caught fish, and raw or cultured dairy like kefir and cheese. These foods supply complete proteins and critical fat-soluble vitamins. For carbohydrate sources, many include ripe fruits like bananas, mangoes, and berries, as well as raw honey and occasional root vegetables like squash or sweet potatoes. These provide quick energy and beneficial polyphenols without the gut-irritating compounds found in grains and legumes."
Pro-metabolic principles,"The goal here is to focus on foods that optimize the generation of energy from food while minimizing stress and digestive irritation. 

A low protein intake can contribute to increases in HPA axis activity and decreased elimination of estrogens. Animal proteins are generally more easily digestible and of higher quality than plant proteins. 

Carbohydrates are vital for lowering the stress systems, like the HPA axis and adrenaline/noradrenaline. Carbohydrates are also imperative for proper thyroid hormone production and metabolism, and for raising androgens. Finally, they serve as a key source of fuel for the immune system, and for several cells in the gut, which maintains a healthy digestive environment.

The metabolic products of polyunsaturated fatty acids are increased with their excessive consumption, and these products are critical mediators of various pain and inflammatory disorders, including those in the gut. They accumulate in the body with aging and metabolic disorders and functionally leave all tissues at risk for damage.

Polyunsaturated fats have been shown to suppress the metabolic rate, and their metabolites serve vital roles in promoting systemic inflammation, hypothyroidism, and stress. They have also been shown to decrease androgens.

Calcium, along with vitamin D, is critical for regulating parathyroid hormone levels, a stress hormone that can induce inflammation, suppress the rate of metabolism, and contribute to gastrointestinal distress. Calcium can also inhibit the absorption of iron, which can be advantageous in situations of iron excess. Calcium intake is often insufficient in people dealing with inflammatory conditions, and these conditions, such as allergies, can be ameliorated by calcium.","The primary pillars of this approach are to ensure adequate, quality protein, adequate carbohydrate and calcium, and to focus on saturated fats while limiting polyunsaturated fats.

Animal proteins include different cuts of beef, lamb, bison, elk and venison, eggs, shellfish and fish, cottage cheese and Greek yogurt. 

Some simple carbohydrate sources would be fruits like grapes, apples, pineapples and oranges, fruit juices, honey, cane sugar, and very well-cooked white rice and potatoes. 

Well-cooked green and root vegetables, such as leafy greens, brussels sprouts, cauliflower, sweet potatoes, jicama, squash, and more, are encouraged as well. 

These polyunsaturated fat rich oils are highly prevalent in most packaged foods and restaurants. Commercial pork, fish and chicken fat also contain high quantities of these fats, and as such it is optimal to eat leaner varieties of these animals. Ruminant (red) meat is much lower in polyunsaturated fat. The big sources to limit are soybean oil, canola oil, corn oil, cottonseed oil, sunflower oil, safflower oil, margarine, peanut oil, rice bran oil and grapeseed oil. Opting for fats like extra virgin olive oil, coconut oil, and animal fats like butter and beef tallow will decrease intake of polyunsaturated fats. 

Excellent sources of calcium include dairy products: any type of milk (whichever you prefer, but especially lower fat varieties), cheeses, cottage cheese, and Greek yogurt. Canned fish with bones like sardines is another good option. Well-cooked greens like mustard greens, napa cabbage, broccoli or Bok choy are some good options as well. If these foods are not well tolerated or available, consider supplementing (NEED LINK) with calcium carbonate at 1250 mg (level unpacked 1/4 tsp) up to twice daily (PureBulk, use code ""PRISM"" at checkout for 10% off). 

Feel free to experiment with different types and amounts of foods. 

This is not meant to be a restrictive, difficult to adhere to diet, but rather principles about food you can apply to better construct meals. 

See the uploaded diet materials for more thorough guidance."
Metabolic meals service & other on the go / no cooking options,Eating out and having little time to prepare food is a key contributor to poor diet quality. Metabolic meals is a service that offers pre-made meals with high quality ingredients.,"Some other good options that do not require cooking: 

Protein sources: Epic (low fat) pork rinds, Beef jerky, Cheese, Milk, Cottage cheese, Greek Yogurt, Canned fish or shellfish without vegetable oil (sardines, oysters, clams, mussels, mackerel, etc.), Low fat, low additive canned or deli meats 
Carbohydrate sources: Fruits, Dried fruits, Fruit juice, Chips without vegetable oil (soybean oil, canola oil, corn oil, cottonseed oil, sunflower oil, safflower oil, margarine, peanut oil, rice bran oil and grapeseed oil. Siete, Barnana, Bugles, some Xochitl brands are good), Chocolate, Raw honey, Crackers 

Speak with your advisor on more brands or foods that fall into this category.
"
Add soluble fiber to the diet,"Soluble fiber is fiber that can coexist with water in solution effectively, which gives it a few key properties. It is fermentable by bacteria, producing metabolites like short chain fatty acids, which in turn can suppress gut inflammation, enhance gut immunity, and promote gut motility. This type of fiber is also effective at binding and supporting the excretion of several toxins, from mold derived mycotoxins to heavy metals and bile acids. By binding bile acids, these foods can also help eliminate loose stools or diarrhea.","Whole fruits like apples, oranges, pineapples and berries, along with vegetables brussels sprouts, green beans, sweet potatoes and cauliflower are high in soluble fiber. Oats or oat bran are good too.

It is important to be mindful of the fact that while this approach can be helpful, people with significant gastrointestinal distress often have difficulty tolerating these foods and it can worsen the condition. It is paramount to listen to the response from the body and adjust accordingly. Start by adding a serving of a higher soluble fiber food and adjust accordingly."
Low residue / irritation diet,"When the gut is in a highly compromised state, a diet that eliminates several potential irritants and limits factors that can be fermented by bacteria can be therapeutic for brief periods of time. Low residue and low fiber diets have been shown to significantly reduce symptoms like constipation, diarrhea, bloating and pain in IBS while even putting inflammatory bowel diseases into remission.

Foods like beans, lentils, legumes, vegetables, tubers, nuts, seeds, and grains contain high amounts of fiber and other ""residue"" which can cause gut irritation, bacterial overgrowth, trigger serotonin production and slow motility. ","Focus on animal proteins and simple carbohydrates, which will be easy to digest. Animal proteins include different cuts of beef, lamb, bison, elk and venison, eggs, shellfish and fish, cottage cheese and Greek yogurt. Some simple carbohydrate sources would be fruits like grapes, apples, pineapples and oranges, fruit juices, honey, cane sugar, and very well-cooked white rice and potatoes. 
Limit or eliminate beans, lentils, legumes, vegetables, tubers, nuts, seeds, and grains. 
Keep in mind that this is meant to be done for short periods of time, to alleviate symptoms and address the underlying issue. Over time, including a more diverse set of foods will be optimal. Be sure to listen to your body, and discontinue if digestion does not improve with this approach.
See the uploaded diet materials for more thorough guidance."
Focus on Vitamin C rich foods,"Vitamin C is one of the body’s principle antioxidants, protecting against free radicals and tissue damage. Vitamin C is especially critical for HPA axis function, being released and can become depleted during times of high stress and adrenaline production. Adding additional vitamin C can suppress excessive HPA axis activity and the associated symptoms of stress, as well as lower inflammation. Vitamin C is also low during allergies and other inflammatory states characterized by high histamine, while supplementing vitamin C can lower histamine by enhancing its degradation. Vitamin C also acts to increase the output of dopamine, our primary pleasure, focus and reward neurotransmitter. Autoimmunity can arise from a lack of vitamin C as it acts to shift the balance of immune cells towards regulation and away from inflammation.","Foods like orange juice, kiwis, green chilli peppers, sweet yellow or green peppers, and guavas are good sources of vitamin C."
Focus on zinc rich foods,"Zinc is critical for the structure of the gut, can reduce endotoxin and also has anti-inflammatory and pro-androgen effects. Zinc is needed for the proper formation and functioning of thyroid hormones. Zinc supplementation can also be used to alleviate fungal overgrowths and skin issues like acne, dry skin and eczema. ","Foods like beef liver, oysters and red meat are great sources of zinc. Oysters are by far the best source of zinc and are balanced with copper. A few servings oysters weekly can significantly increase zinc status."
Focus on selenium rich foods,Selenium is an essential trace mineral that is required for biological processes involved in antioxidant defenses and thyroid hormone metabolism. Selenium has been shown to reduce subclinical and even autoimmune hypothyroidism by supporting the conversion of the inactive T4 into the active T3 thyroid hormone.,"Foods like beef liver, heart, egg yolks, brazil nuts and red meat are great sources of selenium. Aiming for roughly 4-8 ounces of liver and/or heart, per week, and 1-2 egg yolks, 2 brazil nuts, and 4 ounces of red meat daily is a good way to boost selenium status."
