Diagnostic,Implication,,Prism's Ranges ,Where to get
Advanced Adrenal Stress Test (Salivary) ($133),"This test is an at-home analysis of cortisol fluctuation throughout the day. Cortisol is the quintessential stress hormone, which typically fluctuates on a circadian rhythm. It also measures DHEA-S. DHEA is a ""youth"" steroid with several actions that oppose those of estrogen and the HPA axis. An overproduction of DHEA-S may indicate a compensatory mechanism to stress, while low levels can signify an impairment in its production and increased susceptibility to stress. ",,,Precision Point Diagnostics
"Cortisol, Urinary Free","The Advanced Adrenal Stress Test provides a good overview of of HPA axis function throughout the day, which is suspected to be dysregulated based on symptoms. ",,,Labcorp/Quest
"ACTH, Plasma","Under healthful conditions, cortisol provides negative feedback to its two precursors, CRH and ACTH. Measuring ACTH alongside cortisol helps provide a full picture of HPA axis activity in a given individual.",,7.2-63.3 pg/mL,Labcorp/Quest
"DHEA Sulfate, Immunoassay ($30.95)","DHEA is the most abundant steroid hormone in the body. DHEA levels are high during youth and decline with aging, as it plays a crucial role in opposing the stress systems. DHEA is also a crucial neurosteroid, improving cognitive function and supporting neuron growth and differentiation. An overproduction of DHEA-S may indicate a compensatory mechanism to stress, while low levels can signify an impairment in its production process, potentially due to chronic stress. High-normal levels are associated with superior longevity and disease prevention.",,"250-600 mcg/dL (M)
100-250 mcg/dL (F)",Ulta Lab Tests
"Folate, Serum ($7.51)","Folate (vitamin B9) plays a critical role in methylation, which is needed for neurotransmitter production, DNA synthesis, preventing anemia and metabolizing homocysteine. This test measures folate in red blood cells.",,,
Estrone sulfate,"Estrone sulfate is the most abundant circulating endogenously produced estrogen. While not very active on its own, it provides a more indicative metric for total estrogen levels, acting as a ""reservoir"" that tissues can take and convert locally into biologically active estrogens.",,"WOMEN: (0-6 days) <10-154 ng/dL
(Day 7 to luteal) 15-390 ng/dL
(Luteal) 40-373
(Post menopausal) <10-69 MEN: 12-65",Labcorp/Quest
Estrone,"Estrone is a major circulating estrogen. While it has relatively weak estrogenic activity on its own, it can be converted to stronger estrogens within tissues. The amount of estrone increases with aging and obesity, and is one of the most inflammatory estrogens.",,"Female        
  Follicular Phase        10-138 pg/mL
  Luteal Phase        29-113 pg/mL
  Postmenopausal Phase        ≤65 pg/mL",
"Estradiol, Ultrasensitive LC/MS/MS ($28.95)",A measure of the body’s primary estrogen in the blood.,,10-30 pg/mL (men),Ulta Lab Tests
Prolactin ($13.95),"Prolactin is a hormone involved in many stress systems and may be indicative of estrogen or serotonin activity. Prolactin may play a role in intestinal inflammation, poor Vitamin D status, hypothyroidism, sexual dysfunction and general anhedonia as it is inversely related to the reward systems. ",,<10 ng/mL,Ulta Lab Tests
Kidney Profile ($46.49),This panel provides several metrics that can illustrate a basic overview of an individual’s kidney health. ,,,
Luteinizing hormone (LH),"Luteinizing hormone (LH) is a hormone secreted by the pituitary as a part of the systemic signaling system that produces our gonadal hormones: estrogens and progesterone in women and androgens in men. A high LH is indicative of hypogonadism, since the system exists in negative feedback, i.e high gonadal hormones should result in suppression of the precursor pituitary hormones.",,,
Follicle Stimulating Hormone (FSH),"Follicle Stimulating Hormone (FSH) is a hormone secreted by the pituitary as a part of the systemic signaling system that produces our gonadal hormones: estrogens and progesterone in women and androgens in men. A high FSH is indicative of hypogonadism, since the system exists in negative feedback, i.e high gonadal hormones should result in low precursor pituitary hormones.",,,
FSH and LH ($20.45),"Follicle Stimulating Hormone (FSH) & Luteinizing hormone (LH) are hormones secreted by the pituitary as a part of the systemic signaling system that produces our gonadal hormones: estrogens and progesterone in women and androgens in men. High levels of these hormones are indicative of hypogonadism, since the system exists in negative feedback, i.e high gonadal hormones should result in suppression of the precursor pituitary hormones.",,,
Testosterone (women),"Testosterone is the primary androgenic hormone, mediating functions like libido, muscular development and strength, fat loss, cognitive and digestive function. Testosterone production is positively influenced by sufficient calorie intake, dietary carbohydrate (due to insulin), vitamin D, zinc, vitamin A, resistance training and proper sleep, and can be impaired due to oxidative stress, hypothyroidism and inflammation. Elevated testosterone in women is potentially a sign of polycystic ovarian syndrome, a condition of high androgens typically caused by insulin resistance and stress.",,,
"Testosterone, Total, Males (Adult) Only ($17.95)","Testosterone is the primary androgenic hormone, mediating functions like libido, muscular development and strength, fat loss, cognitive and digestive function. Testosterone production is positively influenced by sufficient calorie intake, dietary carbohydrate (due to insulin), vitamin D, zinc, vitamin A, resistance training and proper sleep, and can be impaired due to oxidative stress, hypothyroidism and inflammation.",,>75th %ile based on age (table 4),Ulta Lab Tests
"Testosterone, Free (Dialysis) and Total MS ($48.95)","The total and biologically available amount of testosterone, indicative of overall androgenic activity. Poor glucose metabolism, low vitamin D or zinc status, a lack of saturated fat or carbohydrate (especially from starch), chronic inflammation and stress can all impair testosterone output.",,,Ulta Lab Tests
"Testosterone, Total and Free; and Sex Hormone Binding Globulin ($58.95)","The total and unbound amounts of testosterone, indicative of overall androgenic activity, as well as SHBG, the primary protein which sequesters androgens and estrogens, leaving them unavailable to exert their actions. Elevated levels of SHBG can indicate a lack of insulin signaling from carbohydrates, while low levels can indicate chronically elevated insulin levels.",,,Ulta Lab Tests
Free Testosterone,"Free testosterone measures the unbound amounts of the primary androgen. Testosterone, can be bound to sex hormone binding globulin, sequestering it from exerting biological actions. This can lead to low free testosterone.",,100-240 pg/mL,
"Lactic Acid, Plasma ($49.56)","A measure of the amount of lactic acid in the blood at rest. Lactic acid can be chronically elevated with certain impairments in energy metabolism, and thus can give information on where such an impairment is, along with other symptoms and tests. Some classical causes of high lactic acid are poor oxygen delivery to tissues (anemia) or infection, as both of these factors can impair energy production. Liver dysfunction can also create high lactic acid, since the liver clears it out.",,0.4-1.4 mmol/L,Ulta Lab Tests
"Gliadin (Deamidated Peptide) Antibody (IgG, IgA) ($46.95)","Gliadin is a fragment of the gluten protein. IgG and IgA are two of the most abundant classes of antibodies in the body, which are immune proteins that have specific targets they are created for and bind to as a part of the immune response. The presence of gliadin IgG or IgA antibodies can indicate exposure to, and potentially an inflammatory response towards, gluten.",,,Ulta Lab Tests
Creatinine & eGFR ($3.26),"Creatinine is a waste product of creatine, an important component of energy production in the brain and muscles, that must be excreted by the kidneys. Thus, high levels of creatinine are indicative of poor kidney function. The Glomerular Filtration Rate (GFR) is a calculation that's often done using the results from the Creatinine test. It provides the best overall assessment of kidney function by estimating how much blood passes through the glomeruli (tiny filters in the kidneys) each minute.",,,Ulta Lab Tests
Sex Hormone Binding Globulin ($16.95),"Sex hormone binding globulin (SHBG) is the primary protein which sequesters androgens and estrogens, leaving them unavailable to exert their actions. Elevated levels of SHBG can be the result of excess estrogen, lack of carbohydrate intake, liver issues, and is generally seen in aging. Low levels of SHBG can be indicative of hypothyroidism and stress, and is a risk for several diseases including cardiovascular disease and even cancer.",,"20-40 nmol/L (male)
30-50 nmol/L (female)",Ulta Lab Tests
"Dihydrotestosterone, LC/MS/MS ($38.95)","Dihydrotestosterone (DHT) is the strongest androgen in the body. It is made from testosterone. DHT has potent anti-stress, cognitive enhancing and relaxing effects, while protecting against gut inflammation.",,,Ulta Lab Tests
Calcium,"Calcium is an essential mineral vital for a variety of functions in the body: transmitting key signals within tissues and building bones and teeth. Calcium levels in the blood are primarily regulated by parathyroid hormone, which acts to liberate calcium from hard tissues into the blood. Parathyroid hormone is lowered when there is sufficient vitamin D, dietary calcium, and magnesium, and thus elevated calcium levels can suggest insufficiencies of these nutrients.",,8.6-10.4mg/dL,Ulta Lab Tests
"PTH, Intact and Calcium ($65)","Calcium is an essential mineral vital for a variety of functions in the body: transmitting key signals within tissues and building bones and teeth. Calcium levels in the blood are primarily regulated by parathyroid hormone (PTH), which acts to liberate calcium from hard tissues into the blood. Parathyroid hormone is lowered when there is sufficient vitamin D, dietary calcium, and magnesium, and thus elevated calcium levels can suggest insufficiencies of these nutrients. PTH can slow the rate of metabolism and is indicative of metabolic stress. Hyperparathyroidism has many digestive manifestations including constipation, heartburn, nausea and loss of appetite. ",,,
Copper to Zinc ratio,"Copper and zinc are two essential minerals necessary for a myriad of functions throughout the body. Copper and zinc tend to have an antagonistic relationship with each other, as they impede each others' absorption and transport throughout the body. Excess copper relative to zinc is typically a sign of inflammation and can lead to tissue damage. An elevated copper to zinc ratio is seen in aging, cancer, developmental disorders, and is inversely related to longevity. Low dietary zinc can also contribute to an elevated copper to zinc ratio.",,<1,
"Free T3, Free T4, RT3 and TSH Panel ($68.74)","Free T4 is a measure of the protein-unbound precursor thyroid hormone T4. T4 is the primary hormone released from the thyroid gland. T4 is largely inactive metabolically and needs to be converted in other tissues to the active thyroid hormone, T3. T4 is often carried in the bloodstream via binding proteins, however some of the T4 is not bound to any protein, making it more readily taken up by tissues. The Free T4 metric is a measurement of the unbound T4. High levels can indicate excessive supplementation, hyperthyroidism, or a poor conversion of T4 into T3. Low levels are suggestive of primary hypothyroidism.

Free T3 is a measure of the protein-unbound active thyroid hormone T3. T3 is a thyroid hormone released in small amounts from the thyroid gland but is primarily produced by other tissues from T4. T3 is the thyroid hormone primarily responsible for raising the metabolic rate. Like T4, T3 is often carried in the bloodstream via binding proteins, however some of the T3 is not bound to any protein, making it more readily taken up by tissues. The Free T3 metric is a measurement of the unbound T3. High levels can indicate excessive supplementation, or hyperthyroidism. Low levels are suggestive of functional hypothyroidism.

Thyroid stimulating hormone (TSH) is made by the pituitary gland as apart of thyroid hormone production. It causes the thyroid gland to secrete thyroid hormones T4 and T3, and these in turn lower the output of TSH. Thus, high levels of TSH are indicative of poor thyroid hormone output. Even slightly elevated TSH has been shown to be a risk for impaired metabolic function and stress. TSH can also be lowered by stress hormones, so it should be interpreted alongside other thyroid metrics and symptoms.

Reverse T3 (RT3) is a thyroid hormone that is produced in response to stress, inflammation, poor liver function and nutrition from T4. It facilitates the opposite functions of active thyroid hormone, suppressing metabolism.       ",,,Ulta Lab Tests
Thyroid stimulating hormone (TSH) ($5.38),"Thyroid stimulating hormone (TSH) is made by the pituitary gland as a part of thyroid hormone production. It causes the thyroid gland to secrete thyroid hormones T4 and T3, and these in turn lower the output of TSH. Thus, high levels of TSH are indicative of poor thyroid hormone output. Even slightly elevated TSH has been shown to be a risk for impaired metabolic function and stress. TSH can also be lowered by stress hormones, so it should be interpreted alongside other thyroid metrics and symptoms.",,<1.5 uIU/mL,Ulta Lab Tests
Hepatic Function Panel with GGT ($8.75),"This panel provides several metrics that can illustrate a basic overview of an individual’s liver health. Included metrics: 
Gamma glutamyl transferase (GGT) - an enzyme found in the highest amounts in the liver. Injury to the liver results in release of the substance into the blood. 
Albumin - a protein made by the liver, low levels indicate poor liver function. 
Albumin/Globulin Ratio 
Alkaline phosphatase (ALP) is an enzyme that plays a critical role in maintaining intestinal homeostasis, reducing inflammation, and detoxifying endotoxin. Elevated levels suggest liver damage or intestinal inflammation.
Alanine transaminase (ALT) - an enzyme found in the highest amounts in the liver. Injury to the liver results in release of the substance into the blood. 
AST (aspartate aminotransferase) is an enzyme found in high amounts in liver, heart, and muscle cells. It is also found in lesser amounts in other tissues. Injury to the liver results in release of the substance into the blood.
Bilirubin - a yellowish pigment found in bile, a fluid made by the liver. A small amount of older red blood cells are replaced by new blood cells every day. Bilirubin is left after these older blood cells are removed. The liver helps break down bilirubin so that it can be removed from the body in the stool. Thus, high levels of bilirubin indicate poor liver function. 
Globulin - blood proteins other than albumin. Identifying the types of globulins can help diagnose certain disorders. Globulins are roughly divided into three groups: alpha, beta, and gamma globulins. Gamma globulins include various types of antibodies such as immunoglobulins (Ig) M, G, and A.",,,Ulta Lab Tests
Secretory IgA (stool),"Secretory IgA is secreted by the gut as a part of the gastrointestinal immune system, representing the first line of defense of the gut against bacteria. Elevated levels of sIgA have been associated with an upregulated immune response, while low levels can be the result of stress and impaired immunity.",,,
Immunoglobulin A (IgA) (Serum),"Immunoglobulin A is an antibody that plays a vital role in promoting the immune response to infectious agents like bacteria and viruses. IgA levels can become depleted due to HPA axis overactivity, other chronic stressors, infection and vitamin A or D deficiency. ",,,
Immunoglobulin G (IgG) (Serum),"Immunoglobulin G is an antibody that plays a vital role in promoting the immune response to infectious agents like bacteria and viruses. IgG levels can become depleted due to HPA axis overactivity, other chronic stressors, infection and vitamin A or D deficiency. ",,,
Immunoglobulin M (IgM) (Serum),"Immunoglobulin M is an antibody that plays a vital role in promoting the immune response to infectious agents like bacteria and viruses. IgM levels can become depleted due to HPA axis overactivity, other chronic stressors, infection and vitamin A or D deficiency.         ",,,
Lyme IgM,"The Lyme immunoglobulin M (IgM) antibodies are proteins that specifically target the Borrelia burgdorferi bacteria, which causes Lyme disease. IgM antibody reactivity suggests a recent infection by this bacteria. ",,,
Lyme IgG,"The Lyme immunoglobulin G (IgG) antibodies are proteins that specifically target the Borrelia burgdorferi bacteria, which causes Lyme disease. IgG antibody reactivity suggests a past infection by this bacteria. In the absence of IgM antibodies, it is suggestive of an infection several months prior to testing.",,,
Immunoglobulin G subclass 4 (IgG4),"Immunoglobulin subclass IgG4 is typically linked to chronic antigen exposure, such as during immunotherapy, or in cases of parasitic infection. It has also been connected to several autoimmune conditions, as well as asthma and specific allergies. Elevated levels can indicate a prolonged or repeated immune response to these factors.",,,
"Micronutrient, Vitamin B1 (Thiamine), Blood ($27.72)","Vitamin B1 is a nutrient used primarily in order to generate energy and support the antioxidant system. Low levels of B1 have been implicated in dysfunction of the nervous system, such as pain, weakness or tingling in peripheral nerves, cognitive impairment, and slowed gut motility.",,,Ulta Lab Tests
T3 uptake,T3 uptake is a metric for how much active thyroid hormone is biologically available to the body. Low amounts can be driven by excess estrogen. ,,>31%,Ulta Lab Tests
"T3 Reverse, LC/MS/MS ($28.95)","Reverse T3 is a thyroid hormone that is produced in response to stress, low carbohydrate intake, inflammation, poor liver function and nutrition from T4. It facilitates the opposite functions of active thyroid hormone, suppressing metabolism.",,9.2-16.7 ng/dL,Ulta Lab Tests
Occult blood,Occult blood is microscopic blood found in the stool. A positive result is suggestive of intestinal inflammation or bleeding.,,,
Fecal calprotectin,"Calprotectin is an antimicrobial protein released by immune cells. Elevated levels in the stool suggest intestinal inflammation, pathogenic overgrowth or infection.",,<50 ug/g,
Methane (breath),"CH4 (methane) is a gas produced by bacteria in the gut. Excess methane producing bacteria can slow motility and contribute to symptoms like bloating, gas, constipation and discomfort.",,,
Free T4,"T4 is the primary hormone released from the thyroid gland. T4 is largely inactive metabolically, and needs to be converted in other tissues to the active thyroid hormone, T3. T4 is often carried in the bloodstream via binding proteins, however some of the T4 is not bound to any protein, making it more readily taken up by tissues. The Free T4 metric is a measurement of the unbound T4. High levels can indicate excessive supplementation, hyperthyroidism, or a poor conversion of T4 into T3. Low levels are suggestive of primary hypothyroidism. ",,1.2-1.8 ng/dL,Ulta Lab Tests
"T3, Free ($10.55)","T3 is a thyroid hormone released in small amounts from the thyroid gland, but is primarily produced by other tissues from T4. T3 is the thyroid hormone primarily responsible for raising the metabolic rate. T3 is often carried in the bloodstream via binding proteins, however some of the T3 is not bound to any protein, making it more readily taken up by tissues. The Free T3 metric is a measurement of the unbound T3. High levels can indicate excessive supplementation, or hyperthyroidism. Low levels are suggestive of functional hypothyroidism. ",,3.5-4.5 pg/mL,Ulta Lab Tests
